split,image,plate_text,xmin,ymin,xmax,ymax,width,height
train,SK9.jpg,SK01T8791,96.0,306.0,190.0,326.0,272,363
train,GJ14.jpg,GJ06DG9355,100.0,151.0,171.0,165.0,272,204
train,AS5.jpg,AS23H0770,94.0,316.0,189.0,346.0,272,575
train,ML25.jpg,ML04B8389,105.0,204.0,176.0,221.0,272,425
train,CH10.jpg,CH01AB4559,81.0,301.0,175.0,321.0,272,503
train,UP19.jpg,UP45Q3028,108.0,214.0,187.0,234.0,272,604
train,PB11.jpg,PB08C03690,68.0,146.0,186.0,171.0,272,204
train,UP23.jpg,UP78ED0449,96.0,184.0,165.0,198.0,272,365
train,UP22.jpg,UP11AY0646,106.0,280.0,186.0,294.0,272,363
train,UP10.jpg,UP78DB3730,99.0,277.0,184.0,289.0,272,363
train,KL9.jpg,KL16U8863,104.0,188.0,181.0,201.0,272,272
train,PB4.jpg,PB07BL8058,103.0,270.0,184.0,285.0,272,363
train,OD25.jpg,OD02AP3010,89.0,279.0,184.0,297.0,272,363
train,GJ9.jpg,GJ05RE8119,90.0,189.0,173.0,206.0,272,286
train,JH11.jpg,JH01BC5210,141.0,300.0,202.0,315.0,272,571
train,GJ29.jpg,GJ01RM3413,105.0,140.0,165.0,153.0,272,204
train,GA8.jpg,GA05B5077,141.0,57.0,208.0,92.0,272,119
train,AP18.jpg,AP16BS4500,105.0,114.0,163.0,129.0,271,170
train,CG19.jpg,CG07MA7848,106.0,205.0,170.0,220.0,272,363
train,UP17.jpg,UP32CX3400,91.0,231.0,179.0,252.0,272,363
train,UP15.jpg,UP79L0567,74.0,333.0,176.0,360.0,272,604
train,CG1.jpg,CG04HD6930,102.0,262.0,192.0,283.0,270,332
train,AP10.jpg,AP39E1493,111.0,267.0,188.0,284.0,272,423
train,JK18.jpg,JK1182360,96.0,359.0,164.0,377.0,272,604
train,SK11.jpg,SK02P1078,90.0,293.0,161.0,308.0,272,363
train,SK12.jpg,SK01T3835,63.0,290.0,144.0,325.0,272,363
train,JK34.jpg,JK10B2313,128.0,270.0,199.0,294.0,272,363
train,KA20.jpg,KA19MF1763,77.0,281.0,169.0,302.0,272,363
train,OD10.jpg,OD05K6964,91.0,244.0,181.0,262.0,272,363
train,AS2.jpg,AS07AC6653,99.0,249.0,189.0,268.0,272,363
train,PY4.jpg,PY02S7828,90.0,89.0,179.0,109.0,272,128
train,PB29.jpg,PB10EE0888,109.0,187.0,181.0,203.0,272,363
train,GJ26.jpg,GJ09AG8384,84.0,263.0,179.0,283.0,272,333
train,PY15.jpg,PY05A8339,101.0,225.0,170.0,241.0,272,342
train,GA12.jpg,GA03Y9512,99.0,185.0,170.0,205.0,272,272
train,SK1.jpg,SK01PA2969,100.0,142.0,172.0,159.0,272,204
train,TS4.jpg,TS09EZ9296,109.0,208.0,172.0,224.0,272,363
train,TN9.jpg,TN19Q0835,88.0,279.0,169.0,297.0,272,586
train,CH4.jpg,CH01AX9090,96.0,192.0,192.0,218.0,272,259
train,MP8.jpg,MP09CQ9712,92.0,182.0,174.0,206.0,272,363
train,ML23.jpg,ML05R1934,83.0,201.0,180.0,222.0,272,323
train,GA13.jpg,GA07K6090,163.0,153.0,217.0,171.0,272,242
train,DL30.jpg,DL10C05520,169.0,207.0,221.0,229.0,270,347
train,CG13.jpg,CG16B1802,92.0,245.0,177.0,267.0,272,363
train,GA1.jpg,GA03R9230,129.0,207.0,177.0,224.0,272,363
train,UP2.jpg,UP85BN4203,94.0,176.0,174.0,194.0,272,363
train,MH12.jpg,MH12NJ5838,87.0,287.0,189.0,305.0,270,340
train,WB20.jpg,WB171717,105.0,202.0,176.0,235.0,272,364
train,GJ28.jpg,GJ05JB6589,121.0,136.0,183.0,163.0,272,204
train,PB2.jpg,PB04S4253,112.0,213.0,173.0,225.0,272,363
train,DL24.jpg,DL3CCK8019,94.0,237.0,178.0,253.0,272,363
train,AS3.jpg,AS23E0596,71.0,139.0,122.0,165.0,272,204
train,AP24.jpg,AP07AD5555,90.0,265.0,183.0,285.0,272,363
train,GJ20.jpg,GJ01RK2430,122.0,123.0,182.0,138.0,272,181
train,KL11.jpg,KL0BBJ5001,92.0,242.0,179.0,261.0,272,363
train,AP17.jpg,AP31TP2282,106.0,340.0,180.0,355.0,272,590
train,NL6.jpg,NL02C9593,213.0,245.0,261.0,264.0,272,363
train,JH15.jpg,JH08C0625,92.0,127.0,178.0,146.0,272,204
train,AP7.jpg,AP31BL8656,79.0,223.0,158.0,240.0,272,366
train,DL31.jpg,DL8CNA1596,202.0,226.0,248.0,245.0,272,363
train,CG20.jpg,CG251612,73.0,126.0,136.0,140.0,272,204
train,JH19.jpg,JH05Y9636,109.0,77.0,191.0,94.0,271,132
train,BR16.jpg,BR33M0001,43.0,255.0,112.0,285.0,272,363
train,JH9.jpg,JH01BU9956,114.0,140.0,169.0,153.0,272,153
train,GA7.jpg,GA07K7150,46.0,109.0,104.0,127.0,272,226
train,DL15.jpg,DL8CZ7230,164.0,162.0,226.0,189.0,272,292
train,UP21.jpg,UP52AH9705,101.0,286.0,192.0,317.0,272,604
train,UK10.jpg,UK07AA2432,78.0,250.0,168.0,269.0,272,336
train,OD22.jpg,OR05AC0422,103.0,51.0,222.0,120.0,271,179
train,MN2.jpg,MN05A6028,109.0,256.0,174.0,270.0,271,322
train,TS15.jpg,TS13EK6213,89.0,156.0,165.0,170.0,272,178
train,PB13.jpg,PB08DT7342,112.0,155.0,178.0,171.0,272,204
train,OD17.jpg,OD14B7432,101.0,140.0,149.0,152.0,272,204
train,PY12.jpg,PY01AH9067,119.0,163.0,180.0,183.0,272,204
train,PB27.jpg,PB65AN2583,91.0,235.0,176.0,254.0,272,363
train,JK26.jpg,JK02AG2454,129.0,256.0,214.0,285.0,272,363
train,PB23.jpg,PB02CC7299,122.0,112.0,163.0,123.0,272,153
train,AR4.jpg,AR01C5723,95.0,270.0,191.0,290.0,272,327
train,RJ7.jpg,RJ23CB4320,89.0,255.0,183.0,277.0,272,363
train,KA3.jpg,KA06C9590,70.0,236.0,144.0,261.0,270,447
train,GA6.jpg,GA02J2129,95.0,343.0,185.0,362.0,272,604
train,MH26.jpg,MH12HF5057,100.0,212.0,171.0,228.0,272,274
train,TR2.jpg,TR03H0259,80.0,274.0,178.0,296.0,272,574
train,HR16.jpg,HR56B2626,140.0,264.0,224.0,295.0,272,363
train,AS21.jpg,AS23X5585,112.0,190.0,181.0,206.0,272,363
train,DN5.jpg,DN09D2724,77.0,302.0,178.0,323.0,272,592
train,HP12.jpg,HP36E3330,77.0,250.0,145.0,291.0,272,363
train,GJ21.jpg,GJ12CG2526,94.0,193.0,176.0,212.0,272,278
train,DL5.jpg,DL12CN8660,80.0,278.0,182.0,300.0,272,363
train,WB1.jpg,WB26T6688,159.0,111.0,223.0,142.0,272,245
train,CG18.jpg,CG07CA7784,111.0,247.0,212.0,288.0,272,363
train,AR10.jpg,AR152019,34.0,171.0,88.0,188.0,272,363
train,GJ17.jpg,GJ06DQ3712,101.0,146.0,182.0,164.0,272,204
train,AS14.jpg,AS018P2415,42.0,159.0,91.0,170.0,133,204
train,MP2.jpg,MP04CL8840,39.0,126.0,99.0,142.0,207,153
train,DL8.jpg,DL10CH1252,118.0,147.0,176.0,161.0,272,204
train,JH6.jpg,JH02AH0750,87.0,151.0,139.0,163.0,272,204
train,GJ12.jpg,GJ06PA0097,101.0,136.0,173.0,154.0,272,204
train,BR4.jpg,BR06U2470,37.0,322.0,134.0,351.0,272,605
train,HP21.jpg,HP40B8992,76.0,290.0,169.0,327.0,272,544
train,AS17.jpg,AS01AR1986,89.0,250.0,182.0,268.0,271,342
train,ML38.jpg,ML064696,97.0,269.0,202.0,298.0,272,484
train,PB18.jpg,PB08BF6160,114.0,159.0,187.0,173.0,272,204
train,RJ5.jpg,RJ14CF5807,90.0,200.0,180.0,224.0,272,287
train,KL15.jpg,KL43G6619,141.0,225.0,223.0,259.0,272,363
train,OD5.jpg,OD14E3131,105.0,195.0,181.0,211.0,272,236
train,ML27.jpg,ML05K9494,115.0,210.0,179.0,226.0,272,363
train,TN1.jpg,TN63BV7954,107.0,222.0,162.0,238.0,272,363
train,CG4.jpg,CG04HV7009,104.0,140.0,175.0,153.0,272,153
train,JK24.jpg,JK02BN3088,105.0,242.0,179.0,257.0,272,363
train,GJ15.jpg,GJ01HS1902,104.0,148.0,164.0,163.0,272,204
train,DL32.jpg,DL2CAR0108,114.0,151.0,167.0,164.0,272,363
train,ML1.jpg,ML05F6894,93.0,65.0,165.0,82.0,271,129
train,OD18.jpg,OD22J9911,65.0,124.0,131.0,134.0,181,153
train,JH12.jpg,JH01AX5392,78.0,306.0,165.0,332.0,272,604
train,TR3.jpg,TR02L0569,143.0,228.0,208.0,246.0,272,363
train,GA5.jpg,GA01E5947,100.0,155.0,187.0,172.0,272,204
train,AP21.jpg,AP31AT5064,120.0,99.0,229.0,129.0,272,173
train,AP30.jpg,AP31DT9378,90.0,276.0,173.0,292.0,272,483
train,HP7.jpg,HP12C3766,70.0,283.0,158.0,310.0,272,363
train,DL27.jpg,DL10CA0986,93.0,373.0,192.0,401.0,272,589
train,KA18.jpg,KA04MK312,105.0,128.0,154.0,138.0,272,204
train,UK8.jpg,UK07BK5014,95.0,213.0,169.0,229.0,272,363
train,HP16.jpg,HP302165,81.0,124.0,131.0,137.0,272,204
train,CG8.jpg,CG04H5060,90.0,171.0,181.0,194.0,272,363
train,SK6.jpg,SK04P1320,99.0,259.0,177.0,278.0,272,484
train,MZ1.jpg,MZ01G9825,119.0,98.0,181.0,112.0,272,125
train,UP8.jpg,UP16AJ0704,172.0,224.0,239.0,254.0,272,363
train,MP11.jpg,MP07CB8897,92.0,201.0,186.0,228.0,272,292
train,KA21.jpg,KA28M3589,105.0,319.0,174.0,337.0,272,604
train,WB17.jpg,WB02AJ4534,97.0,265.0,185.0,287.0,272,363
train,AP14.jpg,AP10AS3445,103.0,176.0,191.0,206.0,272,620
train,SK2.jpg,SK01T3794,94.0,233.0,171.0,254.0,272,363
train,MP1.jpg,MP04CL3546,90.0,269.0,171.0,287.0,269,436
train,KA17.jpg,KA01MG1660,116.0,231.0,182.0,246.0,272,327
train,AP25.jpg,AP26AM1260,90.0,250.0,173.0,267.0,272,363
train,AP16.jpg,AP39GR3492,104.0,127.0,154.0,138.0,272,153
train,TR7.jpg,TR03F0375,154.0,106.0,198.0,137.0,272,153
train,DL1.jpg,DL6CJ8404,89.0,235.0,176.0,255.0,272,363
train,OD9.jpg,OD33L2616,103.0,228.0,195.0,250.0,272,363
train,SK8.jpg,SK01PA5349,34.0,187.0,96.0,222.0,272,363
train,DN3.jpg,DN09H0968,71.0,247.0,189.0,274.0,272,363
train,TS3.jpg,TS09EZ9293,103.0,234.0,172.0,253.0,272,363
train,AR6.jpg,AR168272,129.0,161.0,198.0,183.0,214,204
train,BR17.jpg,BF06P00006,90.0,233.0,154.0,250.0,272,363
train,GJ11.jpg,GJ06HS1855,90.0,241.0,196.0,273.0,272,581
train,AR7.jpg,AR02A7116,86.0,57.0,163.0,75.0,272,154
train,DL4.jpg,DL9CAU5573,90.0,228.0,171.0,246.0,270,336
train,HR3.jpg,HR29W8286,104.0,136.0,180.0,154.0,272,204
train,AS22.jpg,AS01AN8668,101.0,280.0,166.0,298.0,272,481
train,AP46.jpg,AP31CS2511,74.0,262.0,180.0,287.0,272,411
train,TS14.jpg,TS36H6578,86.0,279.0,160.0,296.0,271,481
train,GJ18.jpg,GJ01RN4259,107.0,150.0,176.0,165.0,272,204
train,MH13.jpg,MH05BS3471,103.0,331.0,176.0,349.0,272,589
train,JK20.jpg,JK02BJ4045,3.0,217.0,70.0,251.0,272,363
train,HR5.jpg,HR26CC7676,93.0,140.0,165.0,156.0,272,204
train,JK30.jpg,JK02ACB876,24.0,185.0,78.0,199.0,272,204
train,AP29.jpg,AP31DF2833,105.0,1.0,183.0,16.0,269,141
train,ML14.jpg,ML10B9308,135.0,17.0,205.0,37.0,272,369
train,AS6.jpg,AS12S6951,17.0,154.0,68.0,176.0,204,204
train,DL25.jpg,DL9C0S1537,123.0,148.0,183.0,169.0,272,204
train,HP10.jpg,HP52B5958,102.0,352.0,165.0,368.0,272,590
train,GA11.jpg,GA03P2839,46.0,330.0,95.0,359.0,271,495
train,AN2.jpg,AN01D4163,121.0,224.0,179.0,237.0,271,325
train,ML12.jpg,ML05F9854,105.0,163.0,182.0,181.0,272,204
train,TS16.jpg,TS07HM2684,9.0,318.0,92.0,417.0,272,577
train,TN2.jpg,TN76V1978,101.0,283.0,171.0,299.0,272,484
train,DL6.jpg,DL4CAM9066,90.0,201.0,178.0,222.0,272,403
train,AS7.jpg,AS06Q4437,61.0,217.0,128.0,245.0,272,304
train,GA9.jpg,GA06E3855,93.0,251.0,167.0,269.0,272,363
train,DL23.jpg,DL2CAX2886,75.0,256.0,186.0,287.0,272,364
train,HP14.jpg,HP3SG1539,98.0,256.0,199.0,271.0,272,363
train,ML22.jpg,ML1032811,106.0,196.0,163.0,211.0,272,363
train,NL8.jpg,NL07T0937,119.0,186.0,197.0,202.0,272,254
train,AS25.jpg,AS01BS4362,96.0,144.0,166.0,162.0,272,204
train,UP25.jpg,UP32BF3577,76.0,302.0,187.0,340.0,272,593
train,AS16.jpg,AS01AL3746,80.0,240.0,172.0,261.0,271,325
train,MP6.jpg,MP07CA5563,91.0,239.0,178.0,256.0,272,363
train,AP2.jpg,AP07AN3915,95.0,48.0,141.0,59.0,272,125
train,WB13.jpg,WB26K2760,170.0,117.0,221.0,127.0,272,154
train,WB26.jpg,WB02A03017,30.0,120.0,80.0,143.0,272,186
train,UK5.jpg,UK106679,108.0,144.0,176.0,158.0,272,204
train,AP40.jpg,AP04BA4464,76.0,233.0,169.0,253.0,272,363
train,JH18.jpg,JH05S3291,121.0,278.0,169.0,293.0,272,363
train,DL13.jpg,DL12CJ9823,94.0,235.0,175.0,254.0,272,363
train,PB22.jpg,PB06AN6162,103.0,147.0,190.0,166.0,272,204
train,DL21.jpg,DL12CS7886,95.0,242.0,185.0,260.0,272,363
train,AP20.jpg,AP04AS8753,100.0,261.0,165.0,275.0,272,363
train,TN3.jpg,TN02AU9295,88.0,306.0,184.0,330.0,272,590
train,DL28.jpg,DL40NA7238,103.0,259.0,170.0,277.0,272,364
train,PB6.jpg,PB13AF6756,107.0,257.0,201.0,285.0,271,331
train,PB1.jpg,PB11BG7347,94.0,214.0,187.0,239.0,272,544
train,AN5.jpg,AN01L6155,150.0,244.0,205.0,256.0,272,342
train,AP44.jpg,AP318L4935,95.0,251.0,159.0,270.0,272,363
train,JH8.jpg,JH04C7104,102.0,267.0,173.0,281.0,272,482
train,TS1.jpg,TS08FQ1262,89.0,267.0,183.0,287.0,272,363
train,DL38.jpg,DL4CAQ3231,101.0,145.0,166.0,160.0,272,204
train,MH4.jpg,MH12MF6822,92.0,190.0,176.0,207.0,271,487
train,GJ4.jpg,GJ06JE4788,103.0,251.0,178.0,271.0,272,363
train,JK9.jpg,JK02CD0461,79.0,221.0,159.0,240.0,266,332
train,OD12.jpg,OR05AN4494,105.0,310.0,174.0,330.0,272,604
train,JK29.jpg,JK01AF0310,70.0,333.0,172.0,358.0,272,604
train,UP26.jpg,UP14AX9754,48.0,199.0,103.0,214.0,272,363
train,DL18.jpg,DL1CS8739,98.0,217.0,167.0,233.0,272,363
train,DN2.jpg,DN09J1548,102.0,107.0,148.0,116.0,272,136
train,JH7.jpg,JH01BX0013,113.0,81.0,167.0,93.0,272,126
train,TS6.jpg,TS18T3899,110.0,145.0,155.0,156.0,272,204
train,JK19.jpg,JK127959,138.0,174.0,203.0,214.0,272,363
train,AP22.jpg,AP16CH9545,74.0,229.0,172.0,248.0,272,363
train,PB8.jpg,PB10CQ0006,89.0,242.0,175.0,263.0,272,363
train,ML32.jpg,ML10C2674,94.0,346.0,174.0,364.0,272,590
train,LA1.jpg,LA020749,79.0,183.0,144.0,203.0,272,363
train,CH5.jpg,CH01AP4538,112.0,171.0,178.0,185.0,272,204
train,PB21.jpg,PB37A8269,72.0,363.0,168.0,396.0,272,581
train,NL4.jpg,NL02C3947,176.0,387.0,233.0,420.0,271,555
train,WB21.jpg,WB02W9S3S,34.0,194.0,106.0,220.0,272,364
train,AP6.jpg,AP31TV7236,98.0,221.0,176.0,239.0,272,262
train,SK13.jpg,SK05T0338,107.0,124.0,172.0,140.0,272,153
train,JK28.jpg,JK10A5217,143.0,254.0,219.0,291.0,266,332
train,SK7.jpg,SK02P3471,68.0,245.0,129.0,274.0,272,363
train,OD24.jpg,OD02J0435,105.0,221.0,160.0,232.0,272,363
train,JH14.jpg,JH10BV1496,100.0,276.0,182.0,293.0,272,364
train,HR22.jpg,HR09G8378,74.0,215.0,136.0,233.0,265,329
train,KA4.jpg,KA38M8037,65.0,344.0,177.0,370.0,271,558
train,MH3.jpg,MH48AC6244,103.0,234.0,168.0,249.0,272,363
train,DN1.jpg,DN09H2191,95.0,208.0,174.0,225.0,272,363
train,MH19.jpg,MH12KN8366,96.0,323.0,183.0,347.0,272,591
train,JK16.jpg,JK09B7745,79.0,236.0,196.0,260.0,272,363
train,OD11.jpg,OR02BV0701,166.0,248.0,216.0,270.0,272,363
train,CG6.jpg,CG22AB1111,116.0,118.0,161.0,129.0,272,153
train,DL34.jpg,DL8CNA5085,159.0,144.0,213.0,173.0,272,188
train,KL5.jpg,KL34A7564,100.0,158.0,162.0,171.0,272,233
train,AS9.jpg,AS04X2780,100.0,135.0,172.0,151.0,272,204
train,HR7.jpg,HR01W0080,112.0,120.0,171.0,135.0,272,153
train,UK2.jpg,UK06CB4595,30.0,415.0,155.0,470.0,272,604
train,PB10.jpg,PB11BN6101,102.0,356.0,193.0,377.0,272,588
train,TN8.jpg,TN07AP0659,87.0,71.0,171.0,93.0,272,230
train,PB25.jpg,PB10CK5005,124.0,232.0,185.0,246.0,272,363
train,MP3.jpg,MP65C0654,93.0,206.0,167.0,223.0,272,363
train,GJ27.jpg,GJ18BK6705,107.0,144.0,160.0,157.0,272,204
train,PB24.jpg,PB02DY7380,85.0,262.0,168.0,279.0,272,363
train,GJ22.jpg,GJ18BD5216,113.0,116.0,177.0,130.0,272,204
train,RJ2.jpg,RJ14CW4115,99.0,116.0,174.0,137.0,272,363
train,UP11.jpg,UP53AK1161,92.0,260.0,169.0,275.0,272,363
train,GJ7.jpg,GJ34B9811,110.0,134.0,187.0,151.0,272,204
train,MH7.jpg,MH12KY6921,94.0,221.0,184.0,237.0,272,284
train,HR4.jpg,HR10AE9885,98.0,217.0,186.0,241.0,272,300
train,MH8.jpg,MH02DN7410,103.0,151.0,172.0,172.0,272,204
train,MH22.jpg,MH05CH1754,106.0,83.0,150.0,93.0,272,127
train,BR15.jpg,BR01BR5435,77.0,123.0,145.0,165.0,272,204
train,TS7.jpg,TS08EZ9463,100.0,229.0,178.0,247.0,272,363
train,AR12.jpg,AR118724,110.0,136.0,176.0,151.0,272,204
train,AP1.jpg,AP05BY7799,101.0,145.0,179.0,162.0,272,204
train,MH6.jpg,MH47N0712,111.0,225.0,173.0,240.0,272,363
train,WB8.jpg,WB06J4432,98.0,210.0,184.0,229.0,272,272
train,MH10.jpg,MH11CQ8516,90.0,307.0,182.0,325.0,270,334
train,MP5.jpg,MP20TA0919,101.0,230.0,171.0,244.0,272,363
train,HP6.jpg,HP01A7630,30.0,97.0,74.0,111.0,191,139
train,AP45.jpg,AP31BL2833,98.0,231.0,182.0,263.0,272,483
train,KL7.jpg,KL41M93,113.0,134.0,162.0,146.0,272,204
train,HR15.jpg,HR29K7840,94.0,221.0,157.0,239.0,272,327
train,ML2.jpg,ML05Q8790,89.0,247.0,189.0,265.0,272,363
train,BR7.jpg,BR44E1206,99.0,301.0,181.0,316.0,272,363
train,UP27.jpg,UP70ET7816,97.0,252.0,165.0,274.0,272,363
train,UP1.jpg,UP57H8173,100.0,170.0,197.0,197.0,272,363
train,HP9.jpg,HP23A6365,86.0,194.0,160.0,218.0,272,297
train,PB9.jpg,PB35F9333,103.0,231.0,172.0,244.0,272,363
train,MH21.jpg,MH04DR8508,99.0,367.0,186.0,389.0,272,589
train,CG11.jpg,CG04HA4553,133.0,173.0,189.0,184.0,272,363
train,WB15.jpg,WB12AX2987,94.0,246.0,182.0,273.0,272,363
train,AR9.jpg,AR01E1034,99.0,267.0,188.0,286.0,272,363
train,TN4.jpg,TN10AR0131,93.0,149.0,173.0,168.0,272,204
train,GJ8.jpg,GJ16CH9827,98.0,148.0,172.0,164.0,272,204
train,AP39.jpg,AP05DY3395,94.0,157.0,167.0,172.0,272,204
train,AR3.jpg,AR169723,54.0,234.0,97.0,261.0,272,363
train,KL4.jpg,KL27D9809,86.0,232.0,161.0,248.0,272,363
train,KL8.jpg,KL07BU7707,124.0,207.0,200.0,223.0,272,363
train,WB18.jpg,WB06J2192,73.0,231.0,166.0,252.0,272,364
train,PY3.jpg,PY01CM5400,87.0,244.0,168.0,264.0,272,484
train,HP11.jpg,HP12H7917,102.0,130.0,173.0,144.0,272,204
train,MP10.jpg,MP08CA6293,95.0,265.0,184.0,284.0,272,363
train,GJ1.jpg,GJ7AG4373,42.0,286.0,106.0,321.0,264,469
train,UP28.jpg,UP32HY6077,94.0,247.0,176.0,266.0,272,363
train,MP7.jpg,MP09BD1270,97.0,230.0,181.0,253.0,272,484
train,AR2.jpg,AR01F2523,114.0,162.0,175.0,176.0,272,204
train,AR13.jpg,AR200692,93.0,35.0,180.0,56.0,272,119
train,CG10.jpg,CG22H7740,74.0,372.0,178.0,395.0,272,604
train,HP1.jpg,HP12H1324,121.0,230.0,178.0,242.0,272,363
train,MH25.jpg,MH12FK1392,89.0,264.0,178.0,284.0,272,363
train,CH9.jpg,CH01AF1382,108.0,105.0,162.0,118.0,272,204
train,HR20.jpg,HR26EJ7668,101.0,238.0,190.0,254.0,272,363
train,JK35.jpg,JK10A4638,96.0,259.0,173.0,276.0,270,448
train,JK31.jpg,JK03A8042,105.0,142.0,159.0,153.0,272,204
train,TR5.jpg,TR01X0482,83.0,393.0,185.0,417.0,272,484
train,MN6.jpg,MN01K5346,85.0,243.0,157.0,261.0,272,363
train,CG22.jpg,CG13AE4060,94.0,237.0,173.0,255.0,272,291
train,NL5.jpg,NL07CA7631,51.0,360.0,122.0,406.0,272,604
train,MH14.jpg,MH43X8997,94.0,222.0,183.0,239.0,272,283
train,TN6.jpg,TN19F0816,99.0,88.0,191.0,110.0,271,170
train,CH6.jpg,CH01AZ2642,108.0,149.0,178.0,166.0,272,204
train,JH2.jpg,JH01AM0100,97.0,268.0,180.0,284.0,272,427
train,MN4.jpg,MN06LA0861,103.0,9.0,159.0,22.0,272,87
train,GA10.jpg,GA01R6315,86.0,170.0,157.0,203.0,272,311
train,AP19.jpg,AP04M7627,98.0,341.0,158.0,357.0,272,604
train,AP41.jpg,AP5CG6320,79.0,265.0,190.0,290.0,271,327
